CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
02-01-0001-42,02-01-0175,EL PROGRESO,GUASTATOYA,EODP GABRIELA MISTRAL,BARRIO LA DEMOCRACIA,56203495,CARLOTA EUGENIA ALBUREZ AGUILAR,DÉBORA LILIANA MORALES MARROQUÍN,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0002-42,02-01-0175,EL PROGRESO,GUASTATOYA,EODP,BARRIO EL GOLFO,79451335,CARLOTA EUGENIA ALBUREZ AGUILAR,YERALDINI ZARILÚ ANTÓN GARCÍA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0003-42,,EL PROGRESO,GUASTATOYA,EPDP ANEXA A 'CENTRO EDUCATIVO GUAYACAN',BARRIO EL GOLFO,,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0004-43,02-01-0174,EL PROGRESO,GUASTATOYA,EOUM TIPO FEDERACION,BARRIO EL PORVENIR,79451057,CARLA MARLENY ALDANA RODAS,FLOR DE MARÍA ENRÍQUEZ PENSAMIENTO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0005-42,02-01-0175,EL PROGRESO,GUASTATOYA,EODP ANEXA A EOUM,COLONIA NUEVA VIDA,56252333,CARLOTA EUGENIA ALBUREZ AGUILAR,ANA VICENTA ALDANA SÁNCHEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0005-43,02-01-0175,EL PROGRESO,GUASTATOYA,EOUM,COLONIA NUEVA VIDA,42958673,CARLOTA EUGENIA ALBUREZ AGUILAR,BRENDA ELIZABETH POLANCO CASTILLO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0006-43,02-01-0175,EL PROGRESO,GUASTATOYA,EORM,ALDEA EL SUBINAL,57742119,CARLOTA EUGENIA ALBUREZ AGUILAR,MAIRA ELIZABETH BELTETÓN CORONADO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0007-43,02-01-0174,EL PROGRESO,GUASTATOYA,EORM,ALDEA PALO AMONTONADO,41430405,CARLA MARLENY ALDANA RODAS,ASTRID GLENDI CHAVEZ HERNÁNDEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0008-43,02-01-0174,EL PROGRESO,GUASTATOYA,EORM,ALDEA ANSHAGUA,46173042,CARLA MARLENY ALDANA RODAS,SANDY MELISSA CÓRDOVA MONTERROSO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0009-42,02-01-0175,EL PROGRESO,GUASTATOYA,EODP SANTA LUCIA,ALDEA SANTA LUCIA,47169748,CARLOTA EUGENIA ALBUREZ AGUILAR,GEDER DANIRA SÁNCHEZ MARROQUIN,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
