CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
04-01-0001-41,,CHIMALTENANGO,CHIMALTENANGO,COPB ANEXA A EORM,ALDEA TONAJUYU BUENOS AIRES,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0001-42,04-01-0220,CHIMALTENANGO,CHIMALTENANGO,LICEO NUEVA GENERACIÓN,1RA. AV. 4-52 ZONA 4,55808231,KARLA YADIRA PÉREZ SALAZAR,LESLIE IVETTE SÁNCHEZ VÁSQUEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0001-43,04-01-0220,CHIMALTENANGO,CHIMALTENANGO,LICEO NUEVA GENERACIÓN,1RA. AV. 4-52 ZONA 4,55808231,KARLA YADIRA PÉREZ SALAZAR,LESLIE IVETTE SÁNCHEZ VÁSQUEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0002-41,04-01-0213,CHIMALTENANGO,CHIMALTENANGO,COPB ANEXA A EORM,ALDEA CERRO ALTO,57527774,NORMAN EDUARDO PINTO CELIS,MARTIN  GARCÍA ALVAREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0003-41,04-003,CHIMALTENANGO,CHIMALTENANGO,COPB ANEXA A EORM,ALDEA CIENAGA GRANDE,,NORMAN EDUARDO PINTO CELIS,-,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0004-42,04-01-0215,CHIMALTENANGO,CHIMALTENANGO,EODP RAMONA GIL,"1RA. AVENIDA 1-36, ZONA 4",34042732,MARÍA ROSALBA OVALLE CARCUS DE MAXIÁ,OLIMPIA AZUCENA CAR CAMEY,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0005-42,04-001,CHIMALTENANGO,CHIMALTENANGO,LICEO CHIMALTECO 'ALICIA GONZALEZ GIRON',5A. AVENIDA 1-82 ZONA 4,79453597,ABIMAEL ACUTA ABAJ,WALTER  XICAY CHOPOX,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0006-42,04-020,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO EVANGÉLICO  AMÉRICA LATINA,6A. AVENIDA 3-48 ZONA 5,78391447,MARILENA HERNÁNDEZ CABRERA,AXEL EDUARDO ESTRADA CHÁVEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0007-42,04-002,CHIMALTENANGO,CHIMALTENANGO,CENTRO EDUCATIVO PARROQUIAL MONSEÑOR 'ANGELICO MELOTTO',KM. 56.5 CARRETERA PANAMERICANA ALDEA BUENA VISTA,78394573,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,-,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0008-42,,CHIMALTENANGO,CHIMALTENANGO,EPDP ANEXA A COLEGIO 'SANTA ANA',2A. CALLE 4-50 ZONA 4,78391533,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
