CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
06-01-0001-42,06-01-0305,SANTA ROSA,CUILAPA,EODP,ALDEA LOS ESCLAVOS,42197941,DOMINGO ANTONIO LÓPEZ TICÚN,CINDY MELISSA SOLARES SOLARES,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0002-42,06-01-0302,SANTA ROSA,CUILAPA,EODP EMILIA MEYER,1A AVENIDA 4-35 ZONA 4,78866523,IRMA YOLANDA CHACÓN ARROYO,IRIS LORENA SÁNCHEZ HERNÁNDEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0003-42,06-001,SANTA ROSA,CUILAPA,COLEGIO INFANTIL  MARIA MONTESSORI,BARRIO EL LLANITO,78865572,IRMA YOLANDA CHACON ARROYO,FLORENCIA BEATRÍZ GREGORIO SIL,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0004-42,,SANTA ROSA,CUILAPA,EODP ANEXA A CENTRO DE BIENESTAR SOCIAL,BARRIO EL LLANITO,,,,PARVULOS,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0005-42,06-001,SANTA ROSA,CUILAPA,CPMI JOHN FITZGERALD KENNEDY,COLONIA VALLADARES,55174049,IRMA YOLANDA CHACON ARROYO,NERY FRANCISCO MAURICIO LÓPEZ,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0006-43,06-01-0302,SANTA ROSA,CUILAPA,EOUM TIPO FEDERACION  DOMINGO FAUSTINO SARMIENTO,"4A. CALLE 4-03 ZONA 4, BARRIO EL LLANITO",78429627,IRMA YOLANDA CHACÓN ARROYO,JULIO HILARIO SÁNCHEZ CARRILLO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0007-43,06-01-0302,SANTA ROSA,CUILAPA,EOUM TIPO FEDERACION DOMINGO FAUSTINO SARMIENTO,BARRIO EL LLANITO,55124030,IRMA YOLANDA CHACÓN ARROYO,ELISA REBECA MARTÍNEZ ROCA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0008-42,,SANTA ROSA,CUILAPA,EPRM,PARCELAMIENTO LA CUARENTISEIS,,,,PARVULOS,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0008-43,06-01-0303,SANTA ROSA,CUILAPA,EORM,PARCELAMIENTO LA CUARENTISEIS,54904255,SINTYA MARISELA JUAREZ LOPEZ DE POSADAS,LESTER IVAN DIVAS REYNA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0009-43,06-01-0302,SANTA ROSA,CUILAPA,EOUM VICTOR MANUEL MONTERROSO GRANADOS,BARRIO EL CALVARIO,78865221,IRMA YOLANDA CHACÓN ARROYO,HEINER JOSUÉ GARCÍA REVOLORIO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
