CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
10-01-0001-42,10-99-0481,SUCHITEPEQUEZ,MAZATENANGO,EODP NO.1,"11 CALLE FINAL ZONA 1, FRENTE INST. TECNICO INDUSTRIAL",41961940,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,MARÍA CONSUELO CHINCHILLA VÁSQUEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0002-42,,SUCHITEPEQUEZ,MAZATENANGO,EPDP ANEXA A COLEGIO 'REPUBLICA DE GUATEMALA',3A AVE. 7A CALLE ZONA 1,,,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0003-42,10-01-0483,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO ""FROEBEL""",11. CALLE FINAL ZONA 3 COLONIA SAN ANDRES,41341472,NATALI XIOMARA DÍAZ BARRIOS DE FIGUEROA,LIGIA ALEJANDRA CIFUENTES GODOY,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0004-42,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,INSTITUTO PRIVADO MIXTO TECNOLOGICO DEL SUROCCIDENTE,FINCA CHOJOJA,55103188,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,LIDIA ELIZABETH JEREZ DE LEÓN,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0005-42,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO  LICEO MAZATECO,6A AVE. 2-21 ZONA 1,40281538,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,SANDRY ZIOMARA MANCIO MÉNDEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0006-42,10-01-0480,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO CIENTIFICO Y TECNOLOGICO ""BLAISE PASCAL""",1A AVE. SUR FINAL 12-70 ZONA 2,59465095,NATALI XIOMARA DÍAZ BARRIOS DE FIGUEROA,JAQUELINE ESPERANZA LIMA LINARES,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0007-42,10-019,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO MARIA AUXILIADORA,3A AVE. 8-49 ZONA 1,56994611,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,MARÍA VICTORIA MORÁN ALONSO,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0008-42,10-018,SUCHITEPEQUEZ,MAZATENANGO,EPDP ANEXA A COLEGIO 'EL CARMEN',7A CALLE 1-14 ZONA 2 CALZADA CENTENARIO,78720430,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0009-42,,SUCHITEPEQUEZ,MAZATENANGO,EPDP ANEXA A COLEGIO EVANGELICO 'MODELO',"10 AV Y 1A CALLE, BARRIO LA ESPERANZA",,,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0010-42,,SUCHITEPEQUEZ,MAZATENANGO,EPDP ANEXA A COLEGIO PRIVADO MIXTO EL ROSARIO,2A AVE. 4-84 ZONA 1,78721092,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0011-42,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PRIVADO MIXTO ""PERPETUO SOCORRO""",1A CALLE 3-39 ZONA 1,78718090,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,SENAIDA ANAVELA BARRIENTOS CASEROS,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0012-42,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PARTICULAR MIXTO ""LA ILUSTRACION""",3A AVE. 4-92 ZONA 1,41639696,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,MARÍA ELENA ROCHA NAVARRO,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0013-42,10-01-0480,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PRIVADO MIXTO ""ESTHER CARRANZA""",3A AVE. 1-40 ZONA 2,78725047,NATALI XIOMARA DÍAZ BARRIOS DE FIGUEROA,MYNOR JOSE FARFÁN PELLECER,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0014-42,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,EODP ANEXA A EOUM  JUSTO RUFINO BARRIOS,FINAL AVENIDA DOLORES FRENTE A OBRAS PUBLICAS,42174413,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,MARIO FRANCISCO LOPEZ AVILA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0015-42,10-01-0511,SUCHITEPEQUEZ,MAZATENANGO,EODP ANEXA A EOUM  LOS ALMENDROS,COLONIA LOS ALMENDROS ZONA 2,55902129,HEILYN MIRELLA GONZÁLEZ XAR DE QUINTEROS,ANA LUCIA BAUTISTA HERNÁNDEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0016-42,10-01-0483,SUCHITEPEQUEZ,MAZATENANGO,EODP ANEXA A EOUM,9A. CALLE ZONA 3 COLONIA SAN ANDRES,78725949,NATALI XIOMARA DÍAZ BARRIOS DE FIGUEROA,AURA ELIZABETH ALTUZAR AGUIRRE,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0017-42,10-01-0511,SUCHITEPEQUEZ,MAZATENANGO,EODP ANEXA A EOUM NO. 1 MARIA CHINCHILLA,1A.  AVENIDA 0-03 ZONA 2 CANTÓN SANTA CRISTINA,55153529,HEILYN MIRELLA GONZÁLEZ XAR DE QUINTEROS,KARLA OLIVIA GALIANO PUAC,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0018-42,10-01-0483,SUCHITEPEQUEZ,MAZATENANGO,EODP ANEXA A EOUM  BARRIO SAN BENITO,BARRIO SAN BENITO ZONA 3,78718218,NATALI XIOMARA DÍAZ BARRIOS DE FIGUEROA,TANIA ELVIRA MARROQUÍN VÁSQUEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0019-42,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,EODP NO.2,5A. CALLE 3-98 ZONA 1,41166938,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,LILIANA NINETH MARTÍNEZ PÉREZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0020-42,,SUCHITEPEQUEZ,MAZATENANGO,EPDP ANEXA A 'LA JUVENTUD',2A CALLE 3-31 ZONA 1,78722297,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0021-43,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,INSTITUTO PRIVADO MIXTO TECNOLOGICO DEL SUROCCIDENTE,FINCA CHOJOJA,55103188,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,LIDIA ELIZABETH JEREZ DE LEÓN,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0022-43,10-01-0483,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO ""FROEBEL""","11 CALLE FINAL ZONA 3, COLONIA SAN ANDRES",41341472,NATALI XIOMARA DÍAZ BARRIOS DE FIGUEROA,LIGIA ALEJANDRA CIFUENTES GODOY,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0023-43,10-01-0480,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO CIENTIFICO Y TECNOLOGICO ""BLAISE PASCAL""",1A. AVE. SUR FINAL 12-70 ZONA 2,59465095,NATALI XIOMARA DÍAZ BARRIOS DE FIGUEROA,JAQUELINE ESPERANZA LIMA LINARES,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0024-43,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO  LICEO MAZATECO,6A. AVENIDA 2-21 ZONA 1,78720482,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,SANDRY ZIOMARA MANCIO MÉNDEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0025-43,10-019,SUCHITEPEQUEZ,MAZATENANGO,CPMI 'MARIA AUXILIADORA',3A. AVE. 8-49 ZONA 1,56994611,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,MARÍA VICTORIA MORÁN ALONSO,PRIMARIA,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0026-43,10-018,SUCHITEPEQUEZ,MAZATENANGO,CPMI 'EL CARMEN',"7A. CALLE 1-14 ZONA 2, CALZADA CENTENARIO",78720430,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,,PRIMARIA,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0027-43,,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO EVANGELICO 'MODELO',"10A. AVE. Y 1A. CALLE ZONA 2, BARRIO LA ESPERANZA",,,,PRIMARIA,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0028-43,10-01-0480,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO  'ESTHER CARRANZA',3A. AVE. 1-40 ZONA 2,78725047,NATALI XIOMARA DÍAZ BARRIOS DE FIGUEROA,MYNOR JOSE FARFÁN PELLECER,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0029-43,,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO EL ROSARIO,2A. AVE. 4-84 ZONA 1,78724768,,,PRIMARIA,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0030-43,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PRIVADO MIXTO ""PERPETUO SOCORRO""",1A. CALLE 3-39 ZONA 1,41614325,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,SENAIDA ANAVELA BARRIENTOS CASEROS,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0031-43,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PARTICULAR MIXTO ""LA ILUSTRACION""",3A. AVE. 4-92 ZONA 1,41639696,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,MARÍA ELENA ROCHA NAVARRO,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0032-43,10-01-0483,SUCHITEPEQUEZ,MAZATENANGO,EOUM 'EL COMPROMISO',LOTIFICACION CALVILLO ZONA 3,41292821,NATALI XIOMARA DÍAZ BARRIOS DE FIGUEROA,PAULA  TOLCHÁ HERNÁNDEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-0033-43,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,EOUM NO.1 'JUSTO RUFINO BARRIOS',FINAL AVENIDA DOLORES FRENTE A OBRAS PUBLICAS,42174413,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,MARIO FRANCISCO LOPEZ AVILA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
