CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
11-01-0001-42,11-01-0517,RETALHULEU,RETALHULEU,EODP SOLEDAD AYAU,"8A. CALLE 0-80 COLONIA CONCEPCION, ZONA 3",45832022,ALBA YADIRA MONTEJOS MARTINEZ DE ESPINOZA,KARIN YESENIA DE LEÓN MALDONADO,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0002-42,11-01-0514,RETALHULEU,RETALHULEU,EODP JORGE HORACIO ALEJOS C.,RUTA 6-W BARRIO MONTERREY ZONA 4,30436937,CONCEPCION ANGELICA DEL CID JUAREZ,DULCE MARÍA DE LEÓN MORALES,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0003-42,,RETALHULEU,RETALHULEU,EODP DEL CENTRO BIENESTAR SOCIAL,TERMINAL DE BUSES,,,,PARVULOS,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0004-42,11-01-0519,RETALHULEU,RETALHULEU,COLEGIO EVANGELICO MIXTO SINAI,"5A. CALLE, INGRESO A LA COLONIA EL PEDREGAL I, ZONA 6",77715189,MARIO RENE RIVERA ARGUETA,CINDY MARIELA CIFUENTES QUIEJ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0005-42,11-003,RETALHULEU,RETALHULEU,EODP ALDEA INFANTIL S.O.S. 'LUISA SIMHUBER',FINCA LAS MARGARITAS,77710030,ROSELVA SOFIA OVALLE BARRIOS,,PARVULOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0006-42,11-01-0524,RETALHULEU,RETALHULEU,EODP ANEXA A EORM,SECTOR LA MONTAÑA PARCELAMIENTO CABALLO BLANCO,56215395,JAQUELINE FERNANDA VELÁSQUEZ MAZARIEGOS,MARLON IVAN PÉREZ PAZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0007-43,11-01-0525,RETALHULEU,RETALHULEU,ESCUELA PRIVADA RURAL MIXTA,HACIENDA SAN JUAN ZAPOTE,30764182,MIGUEL ANGEL ARMAS ROCHA,MIRTALA ANNABELLA LOPEZ VALLE,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0008-43,11-01-0516,RETALHULEU,RETALHULEU,EOUM DE APLICACION,"4A. AVENIDA  A  PROLONGACION, ZONA 4",55109524,MARILYN ISABEL INESTROZA DURÓN,JOSÉ DAMIÁN RAMÍREZ ESTUPE,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),RETALHULEU
11-01-0009-43,11-01-0513,RETALHULEU,RETALHULEU,EOUM TIPO FEDERACION  RUBEN VILLAGRAN PAUL,CALZADA LAS PALMAS ZONA 2,53280234,JULIO CESAR HERRERA ROLDAN,ELDA AMARILIS FLORES CIFUENTES,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0010-43,11-01-0518,RETALHULEU,RETALHULEU,EOUM,5A. CALLE 8-20 ZONA 1,77716717,ROSELVA SOFIA OVALLE BARRIOS,ANA MERCEDES MINERA MONZÓN,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),RETALHULEU
11-01-0011-43,11-01-0516,RETALHULEU,RETALHULEU,EOUM DE APLICACION,"4 AV. A PROLONGACION, ZONA 4",55545922,MARILYN ISABEL INESTROZA DURÓN,YARVISS REBECA CASTAÑÓN RAMÍREZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0012-43,11-01-0514,RETALHULEU,RETALHULEU,EOUM MONTERREY,13 AVENIDA 1-36 ZONA 4,54996731,CONCEPCION ANGELICA DEL CID JUAREZ,VILMA JOSEFA ARTOLA OBISPO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0013-43,11-01-0518,RETALHULEU,RETALHULEU,COLEGIO PARTICULAR MIXTO  D ANTONI,"2A. CALLE 3-02 ZONA 5, COLONIA MARIA TERESA",77710562,ROSELVA SOFIA OVALLE BARRIOS,LUDIM CELESTINA MÉNDEZ PÚ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0014-43,11-01-0519,RETALHULEU,RETALHULEU,COLEGIO EVANGELICO MIXTO  SINAI,"5A. CALLE, INGRESO A LA COLONIA EL PEDREGAL I, ZONA 6",77715189,MARIO RENE RIVERA ARGUETA,CINDY MARIELA CIFUENTES QUIEJ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0015-43,11-01-0517,RETALHULEU,RETALHULEU,COLEGIO MIXTO 'LICEO RETALTECO',3ERA AVENIDA 6-49 ZONA 1,77710580,ALBA YADIRA MONTEJOS MARTINEZ DE ESPINOZA,JORGE FELIX VÁSQUEZ ORDOÑEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
