CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
15-01-0001-41,15-01-0891,BAJA VERAPAZ,SALAMA,COPB ANEXO A EORM,ALDEA EL TEMPISQUE,,MIGUEL ANGEL ATZIJ PICON,MIRLA ROXANA IBOY ORTÍZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0002-42,15-011,BAJA VERAPAZ,SALAMA,EODP DEL CENTRO DE BIENESTAR SOCIAL,BARRIO AGUA CALIENTE,,SANTOS BALTAZAR CEBALLOS,,PARVULOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0003-42,15-01-0891,BAJA VERAPAZ,SALAMA,EODP NO. 4,BARRIO LAS PIEDRECITAS,33545881,MIGUEL ANGEL ATZIJ PICON,ERIKA ELIZABETH RAMOS CHE,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0004-42,,BAJA VERAPAZ,SALAMA,EODP NO. 3,BARRIO HACIENDA DE LA VIRGEN,,,,PARVULOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0005-42,15-01-0891,BAJA VERAPAZ,SALAMA,EODP NO. 1,5A. CALLE 8-70 ZONA 1,56213249,MIGUEL ANGEL ATZIJ PICON,MIRNA MAYDEE HERNÁNDEZ ADQUÍ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0006-42,15-01-0890,BAJA VERAPAZ,SALAMA,COLEGIO  PARTICULAR MIXTO TEZULUTLAN,"DIAGONAL 4, 1-24 ZONA 2",79400182,IRIS QUETZALI ORDOÑEZ TURCIOS,ELIA NÍVEA LÓPEZ GARCÍA,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0007-42,15-01-0895,BAJA VERAPAZ,SALAMA,ANEXA A LICEO MIXTO SAN MATEO,9A. AVENIDA 6-67 ZONA 1,79401926,NELSON JOEL HERNANDEZ HERNANDEZ,FRANCISCA  PAPE CAAL,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0008-43,15-01-0891,BAJA VERAPAZ,SALAMA,EOUM,BARRIO AGUA CALIENTE,54177534,MIGUEL ANGEL ATZIJ PICON,GENOVEVA ISABEL GARCÍA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0009-43,15-01-0895,BAJA VERAPAZ,SALAMA,LICEO MIXTO SAN MATEO,9A. AVENIDA 6-67 ZONA 1,79401926,NELSON JOEL HERNANDEZ HERNANDEZ,FRANCISCA  PAPE CAAL,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0010-43,15-01-0890,BAJA VERAPAZ,SALAMA,COLEGIO PARTICULAR MIXTO TEZULUTLAN,"DIAGONAL 4, 1-24 ZONA 2",79400182,IRIS QUETZALI ORDOÑEZ TURCIOS,ELIA NÍVEA LÓPEZ GARCÍA,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0011-43,15-01-0894,BAJA VERAPAZ,SALAMA,EORM,ALDEA CHILASCÓ,51916320,MARVIN ESTUARDO REYES GUZMAN,VALERIA ELIZABETH RAYMUNDO TOBAR,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0012-43,15-01-0892,BAJA VERAPAZ,SALAMA,EORM,ALDEA LAS LIMAS,57895828,AMNER ESAÚ FERNÁNDEEZ LÓPEZ,ZONIA ELIZABETH CRÚZ RAYMUNDO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0013-43,15-01-0894,BAJA VERAPAZ,SALAMA,EORM,ALDEA NIÑO PERDIDO,45122384,MARVIN ESTUARDO REYES GUZMAN,MARÍA OFELIA ALVIZURES ESTRADA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0014-43,15-01-0891,BAJA VERAPAZ,SALAMA,EORM,ALDEA LOS PINOS,57403412,MIGUEL ANGEL ATZIJ PICON,DÁLIDA EVILA MOYA CHACÓN,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0015-43,15-01-0893,BAJA VERAPAZ,SALAMA,EORM,ALDEA SANTA INES CHIVAC,41112914,BOYMAN GYRIONE MILIÁN GUZMÁN,LEA MAGALY ALVARADO RODRÍGUEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0016-43,15-01-0891,BAJA VERAPAZ,SALAMA,EORM,ALDEA EL TEMPISQUE,,MIGUEL ANGEL ATZIJ PICON,JUÁN IXBALANQUÉ SIS TISTA,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0017-43,15-01-0891,BAJA VERAPAZ,SALAMA,EOUN TIPO FEDERACION 'JOSE CLEMENTE CHAVARRIA',BARRIO HACIENDA DE LA VIRGEN,56994629,MIGUEL ANGEL ATZIJ PICON,HEDBIN ANIBAL GODOY CAAL,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0018-43,15-01-0891,BAJA VERAPAZ,SALAMA,EOUM,BARRIO LAS PIEDRECITAS,79400000,MIGUEL ANGEL ATZIJ PICON,WENDY ALBERTINA CASTILLO RAMÍREZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0019-43,15-01-0891,BAJA VERAPAZ,SALAMA,EOTF JOSE CLEMENTE CHAVARRIA,BARRIO HACIENDA DE LA VIRGEN,79400515,MIGUEL ANGEL ATZIJ PICON,HENRRY ADELSO VENTURA LEONARDO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0020-43,15-01-0892,BAJA VERAPAZ,SALAMA,EORM,ALDEA EL NANCE,49712495,AMNER ESAÚ FERNÁNDEEZ LÓPEZ,FERDY ENRIQUE CHÉ RODRÍGUEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
