CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
18-01-0001-42,18-01-1059,IZABAL,PUERTO BARRIOS,EODP NATALIA GORRIZ VIUDA DE MORALES,4A AVE. Y 5A CALLE,54833110,SANDRA PATRICIA LÓPEZ JORDÁN,CLAUDIA BERNARDA ESCOBEDO LEIVA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0002-42,18-01-1059,IZABAL,PUERTO BARRIOS,EODP ANEXA A ESCUELA URBANA MIXTA NO. 3  MARIO MENDEZ MONTENEGRO,19 CALLE Y 14 AVE.,79482152,SANDRA PATRICIA LÓPEZ JORDÁN,ANGELA IRAIDA ESTRADA JUAREZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0003-42,18-01-1059,IZABAL,PUERTO BARRIOS,EODP ANEXA A EOUM NO. 2  JUDITH ARACELY PAZ MORALES DE DIAZ,14 CALLE ENTRE 11 Y 12 AVENIDAS,41671098,SANDRA PATRICIA LÓPEZ JORDÁN,LIDYA ROSMERY MEJIA BARRERA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0004-42,18-01-1059,IZABAL,PUERTO BARRIOS,EODP ANEXA A EOUM  PROFESORA ANA SUCELY CALDERON MARIN,COLONIA EL PROGRESO,79486012,SANDRA PATRICIA LÓPEZ JORDÁN,MERCEDES MARILÚ UCELO SOSA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0005-42,18-01-1059,IZABAL,PUERTO BARRIOS,EODP ANEXA A ESCUELA URBANA MIXTA NO. 1  DR. MARIANO GALVEZ,14 CALLE ENTRE 11 Y 12 AVENIDA,79481458,SANDRA PATRICIA LÓPEZ JORDÁN,BRENDA PATRICIA POCASANGRE DUARTE,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0006-42,18-01-1059,IZABAL,PUERTO BARRIOS,"EODP ANEXA A ESCUELA OFICIAL URBANA  MIXTA NO. 4 ""PROFESOR PABLO DE JESUS LINARES FLORES""",19 CALLE Y 14 AVENIDA,52959314,SANDRA PATRICIA LÓPEZ JORDÁN,HILCIA TRINIDAD MORALES LIMA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0007-42,18-01-1059,IZABAL,PUERTO BARRIOS,EODP ANEXA A EOUM  ERNESTO R. LARA,15 CALLE Y 7A AVENIDA,79480566,SANDRA PATRICIA LÓPEZ JORDÁN,ESTELA  HERRERA LÓPEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0008-42,18-01-1059,IZABAL,PUERTO BARRIOS,"EODP ANEXA A  ESCUELA OFICIAL URBANA MIXTA  NO. 2 ""PROFESORA ALBA MARINA RUIZ FAJARDO""",15 CALLE ENTRE 7A Y 8A AVENIDA,40651474-40651474,SANDRA PATRICIA LÓPEZ JORDÁN,ALBA MARINA RUIZ FAJARDO,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0009-42,18-01-1059,IZABAL,PUERTO BARRIOS,EODP LICDA. LETICIA AGUILAR DE VALDEZ,16 CALLE ENTRE 5A Y 6A AVENIDAS,45586673,SANDRA PATRICIA LÓPEZ JORDÁN,MÉLANY DAYANA VILLEDA ACEVEDO,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0010-42,18-01-1062,IZABAL,PUERTO BARRIOS,"COLEGIO PARTICULAR MIXTO ""CRISTO REY""",10 CALLE ENTRE 8A Y 9A AVE,79488225,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,MÓNICA DANISA CALVILLO GUZMÁN,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
