CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
19-01-0001-42,19-01-1117,ZACAPA,ZACAPA,EODP DR. ALFREDO CARRILLO RAMIREZ,"15 AVENIDA 3-08 ZONA 1, BARRIO LA PARROQUIA",79410315,HUGO WILFREDO VARGAS CHACÓN,MARICELA BEATRIZ SALGUERO RAMOS,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0002-42,19-01-1117,ZACAPA,ZACAPA,EODP,8A. CALLE ESQUINA 1-25 ZONA 2 BARRIO LA ESTACION,47849026,HUGO WILFREDO VARGAS CHACÓN,NURIS MARIBEL MANSILLA CABRERA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0003-42,19-01-1117,ZACAPA,ZACAPA,EODP,BARRIO SAN MARCOS,57697930,HUGO WILFREDO VARGAS CHACÓN,IRMA DALILA URRUTIA YANES,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0004-42,19-01-1116,ZACAPA,ZACAPA,"COLEGIO PARTICULAR MIXTO ""MARÍA INMACULADA""","12 CALLE ""A"" 14-03 ZONA 1, BARRIO LA LAGUNA",79414064,SONIA HAYDEE RUIZ WONG,BLANCA ESTELA MÉNDEZ ROLDÁN,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0005-42,19-01-1117,ZACAPA,ZACAPA,COLEGIO BILINGÜE  MONTESSORI,4A CALLE 3-41 ZONA 2,79410965,HUGO WILFREDO VARGAS CHACÓN,GEIDI AZUCENA ROSAL MEJIA,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0006-42,19-019,ZACAPA,ZACAPA,"COLEGIO PRIVADO MIXTO EVANGELICO  ""ELIM""","RESIDENCIALES SHALOM, CALZADA RAMIRO DE LEÓN CARPIO",55146704,HUGO WILFREDO VARGAS CHACON,LUZ AMPARO CORDÓN VARGAS,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0007-42,,ZACAPA,ZACAPA,EPDP ANEXA A 'LICEO CENTRO AMERICANO',16 AVENIDA 4-16 ZONA 1,,,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0008-42,19-01-1117,ZACAPA,ZACAPA,ESCUELA OFICIAL DE PARVULOS JM,"BARRIO LA REFORMA, ZONA 2",33170598,HUGO WILFREDO VARGAS CHACÓN,LEILA YANIRA MONROY TOBAR,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0008-43,19-01-1117,ZACAPA,ZACAPA,EOUN NO.1  PROFA. CARLOTA WONG DE RUIZ,BARRIO LA REFORMA,79410447,HUGO WILFREDO VARGAS CHACÓN,HILDA ARACELY SOLIS TOBAR,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0009-42,19-01-1116,ZACAPA,ZACAPA,ESCUELA OFICIAL URBANA MIXTA DE PARVÚLOS NO. 2,16 AV. 9-51 BARRIO TAMARINDAL ZONA 1,30204652,SONIA HAYDEE RUIZ WONG,FLOR DE   MARÍA TOBAR GALINDO,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
