CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
21-01-0001-42,21-01-1190,JALAPA,JALAPA,EODP 'MARIA ISABEL LIMA ZAPATA',BARRIO SAN FRANCISCO,55326692,VÍCTOR MANUEL PORTILLO RECINOS,SONIA ELIZABETH VALDÉZ VALDÉZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0002-42,21-004,JALAPA,JALAPA,ANEXA A  JARDIN INFANTIL JALAPANECO,"CALLE TRANSITO ROJAS 2-28, ZONA 6",79225275,VICTOR MANUEL PORTILLO RECINOS,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0003-42,21-004,JALAPA,JALAPA,ANEXA A  COLEGIO SAN FRANCISCO,CALLE TRANSITO ROJAS 8-54 ZONA 2,,VICTOR MANUEL PORTILLO RECINOS,,PARVULOS,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0004-42,21-01-1196,JALAPA,JALAPA,COLEGIO  ADVENTISTA MORIA,"2DA. AVENIDA ""A"" 0-84 ZONA 2 BARRIO SAN FRANCISCO",79222901,MANUEL DANILO REYES GONZÁLEZ,WIDMER RONEL PAZ COLINDRES,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0005-42,21-01-1198,JALAPA,JALAPA,"COLEGIO ""EL PORVENIR"" ANEXO AL INSTITUTO PRIVADO DE EDUCACION DIVERSIFICADA EL PORVENIR","4A. AVENIDA 2-66, ZONA 2 BARRIO SAN FRANCISCO",79224958-79223033,JORGE ADELINO PÉREZ UCELO,BERTA CORALIA GALLARDO,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0006-42,21-01-1193,JALAPA,JALAPA,"COLEGIO PARTICULAR MIXTO  ""LICEO JALAPA""",CALLE TRANSITO ROJAS 7-60 ZONA 1 BARRIO LA DEMOCRACIA,79220013,NORA ALCIDA VELÁSQUEZ AGUILAR,JÁCQUELIN ELIZABETH FABIÁN GONZÁLEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0007-42,,JALAPA,JALAPA,EODP ANEXA EORM,ALDEA SANYUYO,,,,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0008-43,21-004,JALAPA,JALAPA,CPMI JARDIN INFANTIL JALAPANECO,"CALLE TRANSITO ROJAS 0-73, ZONA 5",79225275,VICTOR MANUEL PORTILLO RECINOS,,PRIMARIA,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0009-43,21-01-1193,JALAPA,JALAPA,"COLEGIO PARTICULAR MIXTO ""LICEO JALAPA ""","CALLE TRÁNSITO ROJAS 7-60 ZONA 1, BARRIO LA DEMOCRACIA",79220013,NORA ALCIDA VELÁSQUEZ AGUILAR,JÁCQUELIN ELIZABETH FABIÁN GONZÁLEZ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0010-43,21-01-1196,JALAPA,JALAPA,COLEGIO ADVENTISTA  MORIA,"2A. AVENIDA ""A"" 0-84, ZONA 2 BARRIO SAN FRANCISCO",79222901,MANUEL DANILO REYES GONZÁLEZ,WIDMER RONEL PAZ COLINDRES,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
