CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
22-01-0001-42,22-01-1225,JUTIAPA,JUTIAPA,EODP EUSEBIA AUCEDA VDA.DE PADILLA,"3A. AVENIDA 3-24 ZONA 3, BARRIO LA TERMINAL",33207127,CECILIA ISABEL ALDECOA CASASOLA,ENEYDA JULISSA QUINTANA MONZÓN,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0002-42,22-01-1221,JUTIAPA,JUTIAPA,EODP,BARRIO EL CONDOR,78443473,SHAROL VANESA PÉREZ VEGA DE SOTO,ALICIA ARGENTINA MARTÍNEZ RAMÍREZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0003-42,22-01-1224,JUTIAPA,JUTIAPA,LICEO 'JUTIAPA',4A. CALLE 1-53 ZONA 1,78441008,ENMA ONDINA RIOS GONZALEZ DE CONTRERAS,MAYRA LISETH HERNÁNDEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0004-42,22-01-1224,JUTIAPA,JUTIAPA,EODP ANEXA A EOUM  LORENZO MONTUFAR,5A. CALLE 4-71 ZONA 1,78441846,ENMA ONDINA RIOS GONZALEZ DE CONTRERAS,BESSI JULISSA BARRERA LUCERO,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0005-42,22-001,JUTIAPA,JUTIAPA,COLEGIO 'TECNICO PROFESIONAL SAN CRISTOBAL',7A. CALLE 5-30 ZONA 1 BARRIO LATINO,78591186,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0006-42,22-01-1221,JUTIAPA,JUTIAPA,COLEGIO PARTICULAR MIXTO  SAN MIGUEL,2A. CALLE 5-98 ZONA 3,77270508,SHAROL VANESA PÉREZ VEGA DE SOTO,JEOSELIN MARÍA TEJADA RECINOS,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0007-42,22-01-1221,JUTIAPA,JUTIAPA,COLEGIO EVANGELICO  VIDA NUEVA,ENTRADA AL COMPLEJO EDUCATIVO 0-16 BARRIO EL CONDOR ZONA 3,78441907,SHAROL VANESA PÉREZ VEGA DE SOTO,OLIMPIA BEATRIZ SALGUERO TREJO,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0008-45,22-01-1221,JUTIAPA,JUTIAPA,INEB CON ORIENTACION OCUPACIONAL LIC. MARIO E. NAJERA FARFAN,"COMPLEJO EDUCATIVO, BARRIO EL CONDOR",78441126,SHAROL VANESA PÉREZ VEGA DE SOTO,LINDA EVELIN ESPINOZA RECINOS,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0009-45,,JUTIAPA,JUTIAPA,INEB 'ADOLFO V. HALL' ADSC. ESC.NAC. CC.CC.,,,,,BASICO,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),JUTIAPA
22-01-0009-46,,JUTIAPA,JUTIAPA,INST.DIV. BACH EN CIEN Y LET.'ADOLFO V. HALL',FRENTE AL PARQUE 'ROSENDO SANTA CRUZ',,,,DIVERSIFICADO,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),JUTIAPA
22-01-0010-45,22-01-1221,JUTIAPA,JUTIAPA,COLEGIO EVANGELICO  VIDA NUEVA,ENTRADA AL COMPLEJO EDUCATIVO 0-16 BARRIO EL CONDOR ZONA 3,32949057,SHAROL VANESA PÉREZ VEGA DE SOTO,ESLY OLIMPIA VEGA CANÚZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0011-42,22-01-1224,JUTIAPA,JUTIAPA,INSTITUTO TECNOLOGICO BILINGUE,9A. AVE. 7-59 ZONA 1,78442338,ENMA ONDINA RIOS GONZALEZ DE CONTRERAS,MARÍA ANGELINA LÓPEZ CASTELLANOS,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0012-43,22-01-1221,JUTIAPA,JUTIAPA,EOUV TIPO FEDERACION  SALOMON CARRILLO RAMIREZ,BARRIO LA FEDERAL,30043013,SHAROL VANESA PÉREZ VEGA DE SOTO,RODOLFO EDUARDO ALAY,PRIMARIA,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0013-45,22-01-1224,JUTIAPA,JUTIAPA,IPMB LICEO JUTIAPA,4A. CALLE 1-53 ZONA 1,78441008,ENMA ONDINA RIOS GONZALEZ DE CONTRERAS,ALVARO  CISNEROS QUIÑONEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0014-46,22-01-1221,JUTIAPA,JUTIAPA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,"COMPLEJO EDUCATIVO, BARRIO EL CONDOR",78441241,SHAROL VANESA PÉREZ VEGA DE SOTO,MIRZA ELIZABETH ARAGÓN POLANCO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0015-45,,JUTIAPA,JUTIAPA,IPMB COLEGIO 'MODERNO JUTIAPANECO',3A AVENIDA 4-66 ZONA 1,,,,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0015-46,,JUTIAPA,JUTIAPA,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO 'MODERNO JUTIAPANECO',3A. AVENIDA 4-66 ZONA 1,,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0016-45,22-01-1221,JUTIAPA,JUTIAPA,IPMB COLEGIO SAN MIGUEL,2A. CALLE 5-98 ZONA 3,77270508,SHAROL VANESA PÉREZ VEGA DE SOTO,GREDY  ESQUIVEL VALDEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
22-01-0017-45,22-01-1221,JUTIAPA,JUTIAPA,COLEGIO TECNICO PROFESIONAL  SAN CRISTOBAL,7A. CALLE 5-30 ZONA 1,78441530,SHAROL VANESA PÉREZ VEGA DE SOTO,DELMY ASTRID MÉNDEZ POLANCO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0017-46,22-01-1221,JUTIAPA,JUTIAPA,COLEGIO TECNICO PROFESIONAL  SAN CRISTOBAL,7A. CALLE 5-30 ZONA 1,78441530,SHAROL VANESA PÉREZ VEGA DE SOTO,DELMY ASTRID MÉNDEZ POLANCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0018-46,22-001,JUTIAPA,JUTIAPA,INSTITUTO TECNICO DE CIENCIAS ADMINISTRATIVAS Y COMPUTACION  INTECIADCOM,7A. AV. 8-80 ZONA 1 BARRIO LATINO,78442122,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,RODOLFO SARCEÑO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0019-46,22-01-1224,JUTIAPA,JUTIAPA,INSTITUTO TECNICO PARTICULAR DE DIVERSIFICADO -INTECPADI-,"5A. CALLE 5-43, ZONA 1",78442296,ENMA ONDINA RIOS GONZALEZ DE CONTRERAS,RONI ERNESTO RECINOS ESTRADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0020-46,22-01-1225,JUTIAPA,JUTIAPA,COLEGIO PARTICULAR MIXTO DE MAGISTERIO,1A. AVENIDA 4-64 ZONA 1,78442157,CECILIA ISABEL ALDECOA CASASOLA,ISRAEL JOSUÉ VÁSQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0021-46,22-001,JUTIAPA,JUTIAPA,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA NORMAL DE MAGISTERIO,"COMPLEJO EDUCATIVO, BARRIO EL CONDOR",78443474,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,ELEAZAR JOSUE MARROQUIN CARRILLO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0022-46,22-99-0210,JUTIAPA,JUTIAPA,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA DE  MERCADOTECNIA Y PUBLICIDAD DE ORIENTE,5A. AV. 7-35 ZONA 1,78441530,BLANCA SONIA ASENCIO MAZARIEGOS,JORGE MARIO AGUILAR RETANA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JUTIAPA
22-01-0023-43,22-01-1224,JUTIAPA,JUTIAPA,EOUV LORENZO MONTUFAR,"5A. CALLE 4-61, ZONA 1",56978714,ENMA ONDINA RIOS GONZALEZ DE CONTRERAS,ADELINA  PAIZ ALAY,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA
22-01-0024-43,22-01-1224,JUTIAPA,JUTIAPA,'LICEO JUTIAPA',4A. CALLE 1-53 ZONA 1,78441008,ENMA ONDINA RIOS GONZALEZ DE CONTRERAS,YURI GILDARDO HERNÁNDEZ ESTRADA,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA
