grupo_id,n_registros,codigos,establecimiento_representativo,niveles,nombre_generico_sospechoso
31,19,"00-01-0508-46, 00-01-0765-45, 00-01-0766-46, 00-01-0767-45, 00-01-0768-46, 00-01-0769-45, 00-01-0770-46, 00-01-2466-46, 00-01-2467-46, 00-01-3046-45, 00-01-6988-46, 00-01-7256-46, 00-01-8207-45, 00-01-8209-46, 00-01-8298-45, 00-01-8299-46, 00-01-8633-44, 00-01-8755-45, 00-01-8758-45",INSTITUTO AMERICANO EN CIENCIAS DE COMPUTACIÓN,"BASICO, DIVERSIFICADO, PRIMARIA DE ADULTOS",False
2094,18,"09-01-0157-46, 09-01-0482-45, 09-01-0483-46, 09-01-0484-42, 09-01-0485-43, 09-01-0486-45, 09-01-0487-45, 09-01-0488-45, 09-01-0489-46, 09-01-0490-46, 09-01-0491-46, 09-01-0886-42, 09-01-1082-45, 09-01-3651-43, 09-01-3655-46, 09-01-3660-46, 09-01-4003-45, 09-01-4206-45",COLEGIO MIXTO PRIVADO SAN JOSÉ,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1678,17,"05-02-0035-42, 05-02-0036-43, 05-02-0082-46, 05-02-0100-45, 05-02-0108-46, 05-02-0110-46, 05-02-0130-45, 05-02-0241-46, 05-02-0242-46, 05-02-0243-45, 05-02-0244-46, 05-02-2040-44, 05-02-2043-45, 05-02-2044-46, 05-02-2311-45, 05-02-2572-46, 05-02-2651-46",LICEO PREUNIVERSITARIO DEL SUR,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA, PRIMARIA DE ADULTOS",False
1660,17,"05-02-0032-46, 05-02-0047-46, 05-02-0080-46, 05-02-0090-46, 05-02-0091-46, 05-02-0092-46, 05-02-0093-46, 05-02-0140-45, 05-02-0206-43, 05-02-0223-46, 05-02-0252-45, 05-02-0253-46, 05-02-1913-45, 05-02-2402-46, 05-02-2555-46, 05-02-2604-45, 05-02-2870-42",COLEGIO PARTICULAR MIXTO SAGRADO CORAZÓN,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
162,17,"00-06-0005-45, 00-06-0006-45, 00-06-0007-46, 00-06-0008-46, 00-06-0017-44, 00-06-0084-45, 00-06-0085-46, 00-06-4201-46, 00-06-4276-45, 00-06-4298-46, 00-06-4365-46, 00-06-4407-46, 00-06-4603-45, 00-06-7043-45, 00-06-7044-45, 00-06-7045-46, 00-06-7072-45",LICEO DE CIENCIAS TECNICAS,"BASICO, DIVERSIFICADO, PRIMARIA DE ADULTOS",False
3757,16,"20-01-0174-46, 20-01-0193-45, 20-01-0194-46, 20-01-0195-45, 20-01-0196-44, 20-01-0197-46, 20-01-0207-46, 20-01-0236-45, 20-01-0316-45, 20-01-0317-46, 20-01-1612-45, 20-01-1613-46, 20-01-1614-45, 20-01-1615-46, 20-01-2278-43, 20-01-2280-42",COLEGIO SUPERIOR DE INFORMATICA HIGA,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA, PRIMARIA DE ADULTOS",False
1476,15,"04-01-0006-42, 04-01-0031-43, 04-01-0043-44, 04-01-0055-45, 04-01-0055-46, 04-01-0129-46, 04-01-0229-46, 04-01-0311-45, 04-01-0312-46, 04-01-0332-45, 04-01-0333-46, 04-01-2322-46, 04-01-3171-45, 04-01-3172-45, 04-01-3173-46",INSTITUTO EVANGÉLICO AMÉRICA LATINA,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA, PRIMARIA DE ADULTOS",False
228,15,"00-07-0213-45, 00-07-0214-46, 00-07-0278-43, 00-07-0279-45, 00-07-0280-45, 00-07-0281-46, 00-07-0282-46, 00-07-0283-44, 00-07-9089-45, 00-07-9090-45, 00-07-9092-46, 00-07-9093-46, 00-07-9094-46, 00-07-9332-45, 00-07-9545-46",LICEO DE CIENCIA Y TECNOLOGÍA,"BASICO, DIVERSIFICADO, PRIMARIA, PRIMARIA DE ADULTOS",False
2382,15,"11-06-0010-43, 11-06-0153-43, 11-06-0156-43, 11-06-0158-43, 11-06-0159-43, 11-06-0160-43, 11-06-0161-43, 11-06-0170-43, 11-06-0173-43, 11-06-0281-43, 11-06-0289-43, 11-06-0381-43, 11-06-0939-43, 11-06-1020-43, 11-06-1413-43",EORM,PRIMARIA,True
1218,14,"01-17-0081-46, 01-17-0082-45, 01-17-0083-45, 01-17-0084-43, 01-17-0085-42, 01-17-0108-46, 01-17-0109-46, 01-17-0110-45, 01-17-0111-45, 01-17-0112-44, 01-17-0329-45, 01-17-0330-46, 01-17-0398-45, 01-17-0399-46",CENTRO EDUCATIVO BERTRAND RUSSELL,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA, PRIMARIA DE ADULTOS",False
650,14,"01-08-0714-42, 01-08-0715-43, 01-08-0716-44, 01-08-0717-45, 01-08-0719-46, 01-08-0735-46, 01-08-0779-45, 01-08-0780-46, 01-08-0792-43, 01-08-0793-44, 01-08-0794-45, 01-08-0795-45, 01-08-0796-46, 01-08-0797-46",COLEGIO NAKBÉ,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA, PRIMARIA DE ADULTOS",False
1481,14,"04-01-0135-45, 04-01-0136-45, 04-01-0137-45, 04-01-0138-45, 04-01-0139-46, 04-01-0140-46, 04-01-0141-46, 04-01-0142-46, 04-01-0183-43, 04-01-0196-45, 04-01-0197-46, 04-01-0248-42, 04-01-0346-45, 04-01-0347-46",COLEGIO BLESS,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1713,14,"05-06-0038-45, 05-06-0039-46, 05-06-0057-46, 05-06-0058-43, 05-06-0067-45, 05-06-0068-45, 05-06-0070-46, 05-06-0094-46, 05-06-0098-42, 05-06-0107-46, 05-06-0108-46, 05-06-0109-46, 05-06-0139-45, 05-06-0140-46",COLEGIO TECNOLOGICO EN INFORMATICA MILJU-NET,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
3824,14,"20-09-0040-46, 20-09-0041-46, 20-09-0042-45, 20-09-0045-46, 20-09-0048-45, 20-09-0063-46, 20-09-0068-46, 20-09-0070-45, 20-09-0071-46, 20-09-1525-46, 20-09-1536-45, 20-09-1540-45, 20-09-1555-46, 20-09-2363-46",LICEO TECNICO QUEZALTEPEQUE,"BASICO, DIVERSIFICADO",False
3776,14,"20-01-0178-46, 20-01-0179-46, 20-01-0180-45, 20-01-0202-45, 20-01-0203-44, 20-01-0310-45, 20-01-0311-46, 20-01-1543-43, 20-01-1544-45, 20-01-1545-46, 20-01-1546-42, 20-01-2031-45, 20-01-2089-46, 20-01-2314-42",COLEGIO EVANGELICO MIXTO ADONAI,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA, PRIMARIA DE ADULTOS",False
824,14,"01-08-0001-45, 01-08-0143-46, 01-08-1026-44, 01-08-1027-43, 01-08-1028-45, 01-08-1029-46, 01-08-1030-46, 01-08-2952-43, 01-08-2998-42, 01-08-3005-45, 01-08-9195-44, 01-08-9196-45, 01-08-9559-46, 01-08-9690-46",COLEGIO CRISTIANO ELIM,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA, PRIMARIA DE ADULTOS",False
1047,14,"01-15-0362-45, 01-15-0363-45, 01-15-0364-46, 01-15-0365-46, 01-15-0366-45, 01-15-0367-46, 01-15-0498-44, 01-15-0594-42, 01-15-0661-42, 01-15-0662-43, 01-15-0663-45, 01-15-0664-46, 01-15-0746-45, 01-15-0747-46",CENTRO EDUCATIVO INTELLECTUS PRE-UNIVERSITARIO,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA, PRIMARIA DE ADULTOS",False
2092,14,"09-01-0496-45, 09-01-0497-46, 09-01-3555-45, 09-01-3556-46, 09-01-3557-45, 09-01-3558-46, 09-01-3610-45, 09-01-3612-46, 09-01-3659-46, 09-01-3687-42, 09-01-3688-43, 09-01-3816-46, 09-01-4102-45, 09-01-4103-46","COLEGIO PRE-UNIVERSITARIO ""FRIEDRICH VON HAYEK""","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
2432,14,"12-04-0239-46, 12-04-0240-46, 12-04-0241-46, 12-04-0242-45, 12-04-0243-45, 12-04-0244-46, 12-04-0245-46, 12-04-0246-46, 12-04-0247-46, 12-04-0248-41, 12-04-0249-43, 12-04-0250-43, 12-04-0251-45, 12-04-0252-46","COLEGIO ""MUNDO REAL","BASICO, DIVERSIFICADO, PREPRIMARIA BILINGUE, PRIMARIA",False
2491,14,"12-13-0053-45, 12-13-0054-45, 12-13-0055-46, 12-13-0056-46, 12-13-0057-46, 12-13-0058-42, 12-13-0059-43, 12-13-0068-46, 12-13-0071-46, 12-13-0072-46, 12-13-0082-45, 12-13-0083-46, 12-13-0089-45, 12-13-0090-46",COLEGIO PARTICULAR MIXTO LA FAMILIA,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
108,13,"00-01-0833-45, 00-01-0834-46, 00-01-7705-45, 00-01-7706-46, 00-01-7707-46, 00-01-7708-45, 00-01-7709-45, 00-01-7710-46, 00-01-7711-46, 00-01-7712-45, 00-01-9464-46, 00-01-9715-44, 00-01-9716-45",INSTITUTO DE ESTUDIOS ESPECIALIZADOS EN CIENCIAS DE LA COMPUTACIÓN,"BASICO, DIVERSIFICADO, PRIMARIA DE ADULTOS",False
2263,13,"10-02-0050-42, 10-02-0051-45, 10-02-0052-46, 10-02-0053-46, 10-02-0054-46, 10-02-0055-43, 10-02-0056-46, 10-02-0057-46, 10-02-0058-45, 10-02-0059-46, 10-02-0071-45, 10-02-0074-46, 10-02-2608-45",INSTITUTO TECNOLOGICO CIENTIFICO INDUSTRIAL DE SUCHITEPEQUEZ,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1755,13,"05-09-0065-46, 05-09-0073-46, 05-09-0074-45, 05-09-0075-46, 05-09-0091-45, 05-09-0109-45, 05-09-0110-46, 05-09-0118-44, 05-09-0423-42, 05-09-0432-43, 05-09-0730-46, 05-09-2683-45, 05-09-3012-46","COLEGIO PARTICULAR MIXTO ""SANTA MARÍA""","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA, PRIMARIA DE ADULTOS",False
3686,13,"18-04-0455-44, 18-04-0456-45, 18-04-0457-45, 18-04-0458-46, 18-04-0459-46, 18-04-0466-42, 18-04-0467-43, 18-04-0468-45, 18-04-0469-46, 18-04-0472-45, 18-04-0473-46, 18-04-0523-43, 18-04-0524-42",CENTRO DE FORMACION PEDAGOGICA HERMANO PEDRO,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA, PRIMARIA DE ADULTOS",False
398,13,"00-18-0026-43, 00-18-0028-42, 00-18-7592-42, 00-18-7593-43, 00-18-7594-43, 00-18-7595-45, 00-18-7596-46, 00-18-7658-46, 00-18-7659-44, 00-18-7660-45, 00-18-7662-45, 00-18-7663-44, 00-18-8653-46",LICEO AMERICANO TECNOLOGICO DE COMPUTACION,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA, PRIMARIA DE ADULTOS",False
3683,13,"18-04-0188-43, 18-04-0189-43, 18-04-0190-44, 18-04-0191-45, 18-04-0192-45, 18-04-0193-46, 18-04-0194-46, 18-04-0195-46, 18-04-0217-45, 18-04-0218-46, 18-04-0237-44, 18-04-0487-45, 18-04-0488-46",LICEO IZABAL,"BASICO, DIVERSIFICADO, PRIMARIA, PRIMARIA DE ADULTOS",False
461,13,"00-21-0001-46, 00-21-0066-42, 00-21-0067-45, 00-21-0068-42, 00-21-0069-43, 00-21-0070-45, 00-21-0071-43, 00-21-0072-45, 00-21-1122-43, 00-21-2314-42, 00-21-2594-45, 00-21-8141-46, 00-21-9118-45","LICEO MIXTO CRISTIANO ISRAEL, SOCIEDAD ANÓNIMA","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1717,13,"05-06-0034-46, 05-06-0035-46, 05-06-0051-46, 05-06-0064-43, 05-06-0065-45, 05-06-0066-46, 05-06-0077-42, 05-06-0083-46, 05-06-0099-46, 05-06-0113-46, 05-06-0114-45, 05-06-0135-45, 05-06-0136-46","COLEGIO PRIVADO MIXTO ""BENDICIÓN DEL SABER""","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
